Date,Sleep_Quality (1-10),Total_Gaming_Hrs,Games_Played,Total_Productive_Hrs,Weather_Pulled,Daily_Notes
06 August 2025,4,2.0,"Apex Legends, Rainbow 6 Siege, Forza Horizon 5",2.5,False,Overall a good day. Got some productive work done and energy was higher than expected even though sleep quality was low
07 August 2025,7,3.5,"Forza Horizon 5, Rainbow 6 Siege, Minecraft",7.5,False,Much better day than yesterday. My energy was more stable throughout the day
08 August 2025,6,5.5,"Forza Horizon 5, Rainbow 6 Siege, Minecraft",5.0,False,"Seeing as my sleep quality was worse, it seems my energy levels follow."
09 August 2025,8,0.5,Forza Horizon 5,0.0,False,"Sleep was good, had a lot of fun outside today. Spent way too much money though"
10 August 2025,7,0.0,None,0.0,False,Very fun day out with Waseem. Good movement outside. Okay sleep. Slept late today
11 August 2025,8,0.0,None,1.0,False,Slept late but well. Weather seems good and I was quite active walking in Bristol and back
12 August 2025,6,0.0,None,5.0,False,Slept early but woke up during the night because of a fox screaming. Found it hard to fall back asleep as the sun already rose
13 August 2025,8,1.0,Forza Horizon 5,4.0,False,"Slept early, weather is gloomy. Exercise has me tired. "
14 August 2025,8,2.0,"Forza Horizon 5, Apex Legends",5.0,False,Slept past midnight but quality was good and I feel well rested and energised. I feel focused and ready for work
15 August 2025,7,1.0,"Forza Horizon 5, Apex Legends",2.0,False,"Slept past midnight. Slept well though, considering I got up twice to pray Tahajjud and Fajr"
16 August 2025,7,0.0,None,0.0,False,Slept at 3am. Sleep quality was good though I feel well rested
17 August 2025,7,0.0,None,0.0,False,"Slept well, woke up at 12 though. Today (17th Aug) was not eventful but was satisfying. Fun activities together with my wife and my siblings"
18 August 2025,9,3.0,"Forza Horizon 5, Apex Legends",0.5,False,Woke at 5am. Couldn't sleep afterwards and was wide awake. Slept well though
19 August 2025,8,0.0,None,0.5,False,Good sleep quality. Slept early at 11pm
20 August 2025,7,1.0,Forza Horizon 5,5.0,False,Tired but well restedâ€¦ weird combo. Slept at around 1am
21 August 2025,7,2.0,Forza Horizon 5,1.0,False,Tired but well rested. Slept at 1.30
22 August 2025,4,1.5,Forza Horizon 5,3.5,False,Tired when I woke up. Slept early but got up to pray twice
23 August 2025,9,1.0,Forza Horizon 5,0.0,False,"Slept very well. Woke up at 9.30 ish and just lay in bed, letting my sleep marinate"
24 August 2025,5,1.0,Apex Legends,0.0,False,Slept late. Sleep tired in the morning too
25 August 2025,6,1.5,"Forza Horizon 5, Apex Legends",0.0,False,Woke up tired
26 August 2025,7,3.5,Apex Legends,4.5,False,Woke tired but excited to work
27 August 2025,8,,,,False,"Tired, slept past midnight "
28 August 2025,,,,,,
29 August 2025,,,,,,
30 August 2025,,,,,,
31 August 2025,,,,,,
01 September 2025,,,,,,
02 September 2025,,,,,,
03 September 2025,,,,,,
04 September 2025,,,,,,
05 September 2025,,,,,,
06 September 2025,,,,,,
07 September 2025,,,,,,
08 September 2025,,,,,,
09 September 2025,,,,,,
10 September 2025,,,,,,
11 September 2025,,,,,,
12 September 2025,,,,,,
13 September 2025,,,,,,
14 September 2025,,,,,,
15 September 2025,,,,,,
16 September 2025,,,,,,
17 September 2025,,,,,,
18 September 2025,,,,,,
19 September 2025,,,,,,
20 September 2025,,,,,,
21 September 2025,,,,,,
22 September 2025,,,,,,
23 September 2025,,,,,,
24 September 2025,,,,,,
25 September 2025,,,,,,
26 September 2025,,,,,,
27 September 2025,,,,,,
28 September 2025,,,,,,
29 September 2025,,,,,,
30 September 2025,,,,,,
01 October 2025,,,,,,
02 October 2025,,,,,,
03 October 2025,,,,,,
04 October 2025,,,,,,
05 October 2025,,,,,,